config_id,model_name,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c
45ffd9277e,LDA,2,svd,,,
6e4c41088b,LDA,2,lsqr,,,
8f70493860,LDA,2,lsqr,auto,,
19e9ab93ec,LDA,2,lsqr,0.1,,
6921e82f92,LDA,2,lsqr,0.3,,
8084c93394,LDA,2,eigen,,,
4784f644d1,LDA,2,eigen,auto,,
dc8c5d4d9a,LDA,2,eigen,0.1,,
027946b30f,LDA,2,eigen,0.3,,
4c16cef962,LDA,4,svd,,,
1e406c6154,LDA,4,lsqr,,,
ad06430d7a,LDA,4,lsqr,auto,,
a81462b1a6,LDA,4,lsqr,0.1,,
6f6fd93d83,LDA,4,lsqr,0.3,,
972914fe3e,LDA,4,eigen,,,
42d09d2b75,LDA,4,eigen,auto,,
cf99e61679,LDA,4,eigen,0.1,,
7991e5d04f,LDA,4,eigen,0.3,,
77d7f49b82,LDA,6,svd,,,
13fba2ed4b,LDA,6,lsqr,,,
0838365997,LDA,6,lsqr,auto,,
f951873acb,LDA,6,lsqr,0.1,,
2601698d9c,LDA,6,lsqr,0.3,,
3c6eca4571,LDA,6,eigen,,,
4b8423888a,LDA,6,eigen,auto,,
595b6be87a,LDA,6,eigen,0.1,,
ccc9055f10,LDA,6,eigen,0.3,,
2a61349d4a,LDA,8,svd,,,
7dde0e8e52,LDA,8,lsqr,,,
f987ed8b35,LDA,8,lsqr,auto,,
5a53f0ae55,LDA,8,lsqr,0.1,,
d93569f381,LDA,8,lsqr,0.3,,
07ae43c2a8,LDA,8,eigen,,,
94e2adaa28,LDA,8,eigen,auto,,
fb2809ab28,LDA,8,eigen,0.1,,
90f0279793,LDA,8,eigen,0.3,,
